Date,Quantity,Revenue
2009-12-01,24335,43894.87
2009-12-02,29679,52762.06
2009-12-03,48009,67413.62
2009-12-04,19954,33913.81
2009-12-05,5119,9803.050000000001
2009-12-06,11502,24390.1
2009-12-07,15557,33002.49
2009-12-08,22241,44763.340000000004
2009-12-09,15881,30763.170000000002
2009-12-10,22534,38598.21
2009-12-11,21212,39204.17
2009-12-13,12205,21577.35
2009-12-14,40815,51245.16
2009-12-15,26401,46836.63
2009-12-16,22044,36927.3
2009-12-17,15031,29758.87
2009-12-18,15225,31562.72
2009-12-20,6236,11355.19
2009-12-21,8446,15549.640000000001
2009-12-22,11913,10696.59
2009-12-23,4321,9485.67
2010-01-04,10593,13415.09
2010-01-05,11288,19051.19
2010-01-06,7458,8731.26
2010-01-07,40592,72989.38
2010-01-08,12694,30292.7
2010-01-10,13291,23157.33
2010-01-11,9414,19684.49
2010-01-12,20782,38833.58
2010-01-13,6541,12391.1
2010-01-14,11788,23721.64
2010-01-15,8414,13499.550000000001
2010-01-17,9910,17363.25
2010-01-18,8319,12078.84
2010-01-19,12939,21892.791
2010-01-20,8208,13244.34
2010-01-21,72900,27359.23
2010-01-22,16974,29345.83
2010-01-24,8700,15552.32
2010-01-25,9104,18346.54
2010-01-26,22305,38570.37
2010-01-27,16985,23722.72
2010-01-28,10855,18914.83
2010-01-29,9471,25382.441
2010-01-31,10557,18261.86
2010-02-01,8581,16606.931
2010-02-02,10543,19532.03
2010-02-03,9369,17230.061
2010-02-04,12794,22486.01
2010-02-05,9889,19420.74
2010-02-07,11179,17023.920000000002
2010-02-08,7043,13016.04
2010-02-09,10629,18398.260000000002
2010-02-10,3066,6082.34
2010-02-11,9027,15061.87
2010-02-12,7324,9728.96
2010-02-14,10892,17772.19
2010-02-15,96358,42318.211
2010-02-16,15744,25669.010000000002
2010-02-17,24986,26455.22
2010-02-18,19851,35737.24
2010-02-19,10862,18931.99
2010-02-21,5555,11394.731
2010-02-22,13423,26336.24
2010-02-23,11574,20840.010000000002
2010-02-24,21941,30392.661
