Date,Actual_Quantity,Baseline_Predicted_Quantity,RandomForest_Predicted_Quantity,XGBoost_Predicted_Quantity,LightGBM_Predicted_Quantity,Predicted_Quantity,Best_Model
2010-10-01,22213,21377.0,20169.34,20461.604,19671.903659135092,19671.903659135092,LightGBM
2010-10-03,20343,28035.0,15314.54,12615.648,16295.475317664199,16295.475317664199,LightGBM
2010-10-04,23529,13385.0,59661.25,46893.836,33593.583724939526,33593.583724939526,LightGBM
2010-10-05,34855,125489.0,21478.52,21851.006,23059.18599114975,23059.18599114975,LightGBM
2010-10-06,21884,23634.0,22510.63,24251.63,21133.43196024672,21133.43196024672,LightGBM
2010-10-07,30072,20736.0,21558.1,20878.158,22248.75115524894,22248.75115524894,LightGBM
2010-10-08,41441,24834.0,20246.91,20334.053,19691.305502752308,19691.305502752308,LightGBM
2010-10-10,12414,22213.0,14432.15,11329.631,16005.72522164832,16005.72522164832,LightGBM
2010-10-11,24913,20343.0,55587.22,46818.08,34180.64629433998,34180.64629433998,LightGBM
2010-10-12,29531,23529.0,22636.76,19617.988,23095.513914772768,23095.513914772768,LightGBM
2010-10-13,40097,34855.0,21557.2,22020.004,21097.1040366237,21097.1040366237,LightGBM
2010-10-14,37123,21884.0,21863.72,22823.889,21835.492313043338,21835.492313043338,LightGBM
2010-10-15,22350,30072.0,19697.52,22518.924,19514.577009960107,19514.577009960107,LightGBM
2010-10-17,18978,41441.0,14853.6,13976.864,16295.475317664199,16295.475317664199,LightGBM
2010-10-18,19725,12414.0,51878.75,38357.246,33518.272210166826,33518.272210166826,LightGBM
2010-10-19,27244,24913.0,20357.91,18160.318,22165.14006665393,22165.14006665393,LightGBM
2010-10-20,24039,29531.0,21660.85,23529.238,21097.1040366237,21097.1040366237,LightGBM
2010-10-21,17798,40097.0,19756.89,20176.148,21964.372191607756,21964.372191607756,LightGBM
2010-10-22,23118,37123.0,17545.51,15074.745,16818.67558850898,16818.67558850898,LightGBM
2010-10-24,15445,22350.0,14646.57,13075.807,23214.998314844324,23214.998314844324,LightGBM
2010-10-25,14485,18978.0,49433.57,37464.312,31445.269877734074,31445.269877734074,LightGBM
2010-10-26,25974,19725.0,20905.84,21121.275,21844.32903726555,21844.32903726555,LightGBM
2010-10-27,16197,27244.0,25706.57,23183.072,22924.515637068664,22924.515637068664,LightGBM
2010-10-28,14298,24039.0,20839.4,20136.713,19062.587227954882,19062.587227954882,LightGBM
2010-10-29,25578,17798.0,17535.05,20048.875,15336.997399747901,15336.997399747901,LightGBM
2010-10-31,16352,23118.0,13238.6,10418.045,15257.002377079416,15257.002377079416,LightGBM
2010-11-01,14127,15445.0,39940.69,36688.01,28305.492345550632,28305.492345550632,LightGBM
2010-11-02,24166,14485.0,20330.7,24059.842,19727.308796262067,19727.308796262067,LightGBM
2010-11-03,23637,25974.0,22512.46,19027.969,21333.076905568993,21333.076905568993,LightGBM
2010-11-04,60269,16197.0,19603.0,18654.719,21245.14616423994,21245.14616423994,LightGBM
2010-11-05,22449,14298.0,19626.35,22563.604,20223.672660235894,20223.672660235894,LightGBM
2010-11-07,18428,25578.0,14809.76,13630.585,16295.475317664199,16295.475317664199,LightGBM
2010-11-08,32397,16352.0,55000.27,41744.285,33345.00277289919,33345.00277289919,LightGBM
2010-11-09,35361,14127.0,19725.34,22828.258,23488.08487026259,23488.08487026259,LightGBM
2010-11-10,35184,24166.0,22428.39,21815.441,21133.43196024672,21133.43196024672,LightGBM
2010-11-11,34397,23637.0,22458.36,22916.248,21835.492313043338,21835.492313043338,LightGBM
2010-11-12,23217,60269.0,19414.28,21982.193,19514.577009960107,19514.577009960107,LightGBM
2010-11-14,17295,22449.0,14407.06,13126.549,16170.933023835756,16170.933023835756,LightGBM
2010-11-15,37969,18428.0,55269.58,41322.984,33979.515474911765,33979.515474911765,LightGBM
2010-11-16,39307,32397.0,22545.94,22898.926,22893.978188962312,22893.978188962312,LightGBM
2010-11-17,28549,35361.0,22053.13,22265.352,21097.1040366237,21097.1040366237,LightGBM
2010-11-18,21366,35184.0,21838.64,23366.154,21799.16438942032,21799.16438942032,LightGBM
2010-11-19,25313,34397.0,19214.81,25262.158,19675.417963041273,19675.417963041273,LightGBM
2010-11-21,17985,23217.0,14382.91,12217.299,16005.72522164832,16005.72522164832,LightGBM
2010-11-22,19775,17295.0,55014.14,40669.973,33126.61021996645,33126.61021996645,LightGBM
2010-11-23,26947,37969.0,18547.31,18112.006,22128.81214303091,22128.81214303091,LightGBM
2010-11-24,28754,39307.0,21828.18,22644.49,21097.1040366237,21097.1040366237,LightGBM
2010-11-25,38054,28549.0,22997.07,25526.016,21799.16438942032,21799.16438942032,LightGBM
2010-11-26,17394,21366.0,20796.04,20300.951,19506.695856947656,19506.695856947656,LightGBM
2010-11-28,16298,25313.0,11555.23,10046.156,12822.259915378267,12822.259915378267,LightGBM
2010-11-29,39991,17985.0,58130.13,44872.105,33728.73021054564,33728.73021054564,LightGBM
2010-11-30,26532,19775.0,22860.94,22319.715,22877.086365982865,22877.086365982865,LightGBM
2010-12-01,26818,26947.0,22386.72,21580.238,21097.1040366237,21097.1040366237,LightGBM
2010-12-02,31264,28754.0,21786.51,24287.346,21799.16438942032,21799.16438942032,LightGBM
2010-12-03,16158,38054.0,19294.31,20383.951,19514.577009960107,19514.577009960107,LightGBM
2010-12-05,16242,17394.0,13150.62,12610.893,12345.113133039094,12345.113133039094,LightGBM
2010-12-06,21619,16298.0,55443.52,42928.938,33126.61021996645,33126.61021996645,LightGBM
2010-12-07,25180,39991.0,20381.51,18587.111,23214.358555800776,23214.358555800776,LightGBM
2010-12-08,23041,26532.0,22430.29,24068.836,21097.1040366237,21097.1040366237,LightGBM
2010-12-09,19898,26818.0,21459.34,19666.924,21964.372191607756,21964.372191607756,LightGBM
