Date,Quantity,Revenue,DayOfWeek,Month,Quarter,Year,Lag_1,Lag_7,Rolling_7,Forecast_Demand,Current_Stock,Inventory_Demand_Gap,Stock_Coverage_Days,Risk,Recommendation,Inventory_Assumption
2009-12-08,23143,49476.23,1,12,4,2009,17955.0,26098.0,23277.14285714286,23143,34916.0,11773.0,1.51,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2009-12-09,17840,40265.66,2,12,4,2009,23143.0,31804.0,22855.0,17840,34282.0,16442.0,1.92,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2009-12-10,23579,44233.96,3,12,4,2009,17840.0,49221.0,20860.14285714286,23579,31290.0,7711.0,1.33,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2009-12-11,21268,39447.89,4,12,4,2009,23579.0,21210.0,17197.0,21268,25796.0,4528.0,1.21,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2009-12-13,12517,22176.46,6,12,4,2009,21268.0,5119.0,17205.285714285714,12517,25808.0,13291.0,2.06,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2009-12-14,45332,73174.39,0,12,4,2009,12517.0,11533.0,18262.14285714286,45332,27393.0,-17939.0,0.6,Stockout Risk,Increase replenishment,Estimated from recent demand; Online Retail II has no stock snapshots
2009-12-15,27064,50262.29,1,12,4,2009,45332.0,17955.0,23090.571428571428,27064,34636.0,7572.0,1.28,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2009-12-16,24891,52545.55,2,12,4,2009,27064.0,23143.0,24391.85714285714,24891,36588.0,11697.0,1.47,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2009-12-17,15413,30638.25,3,12,4,2009,24891.0,17840.0,24641.571428571428,15413,36962.0,21549.0,2.4,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2009-12-18,17402,42470.29,4,12,4,2009,15413.0,23579.0,24294.85714285714,17402,36442.0,19040.0,2.09,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2009-12-20,6245,11382.54,6,12,4,2009,17402.0,21268.0,23412.428571428572,6245,35119.0,28874.0,5.62,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2009-12-21,8771,16322.95,0,12,4,2009,6245.0,12517.0,21266.285714285714,8771,31899.0,23128.0,3.64,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2009-12-22,14478,28017.28,1,12,4,2009,8771.0,45332.0,20731.14285714286,14478,31097.0,16619.0,2.15,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2009-12-23,4578,10849.35,2,12,4,2009,14478.0,27064.0,16323.42857142857,4578,24485.0,19907.0,5.35,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-01-04,10646,13445.800000000001,0,1,1,2010,4578.0,24891.0,13111.142857142857,10646,19667.0,9021.0,1.85,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-01-05,11296,19114.34,1,1,1,2010,10646.0,15413.0,11076.142857142857,11296,16614.0,5318.0,1.47,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-01-06,7459,8736.75,2,1,1,2010,11296.0,17402.0,10488.0,7459,15732.0,8273.0,2.11,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-01-07,40614,73039.89,3,1,1,2010,7459.0,6245.0,9067.57142857143,40614,13601.0,-27013.0,0.33,Stockout Risk,Increase replenishment,Estimated from recent demand; Online Retail II has no stock snapshots
